epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.205,1.86861,3.09562,2.0945,0.00313,0.78947,0.10904,0.03361,2.41644,4.09519,2.74558,0.00028,0.00028,0.00028
2,19.2958,1.72777,2.73763,1.98264,0.00354,0.89474,0.18183,0.07283,1.79742,3.64977,2.23677,0.000577129,0.000577129,0.000577129
3,24.5065,1.72011,2.66231,2.04118,0.00375,0.94737,0.21075,0.06182,2.14012,3.37954,2.27974,0.000871288,0.000871288,0.000871288
4,31.8711,1.85363,2.67956,2.12169,0.40125,0.21053,0.16057,0.04921,2.78388,3.07079,2.60406,0.00116248,0.00116248,0.00116248
5,38.2161,1.82574,2.56295,2.05247,0.18016,0.21053,0.08544,0.01861,2.98704,4.20278,3.50899,0.0014507,0.0014507,0.0014507
6,43.3176,1.91288,2.54021,2.10936,0.06124,0.26316,0.09502,0.01678,3.04135,4.40111,3.0853,0.00173595,0.00173595,0.00173595
7,50.5118,1.89844,2.52014,2.09659,0.02207,0.47368,0.01706,0.0044,3.20739,53.3559,4.65773,0.0019406,0.0019406,0.0019406
8,56.8386,1.8993,2.5445,2.13954,0.10254,0.15789,0.06615,0.01536,2.88857,11.1562,3.85197,0.0019307,0.0019307,0.0019307
9,62.2568,1.85294,2.45038,2.12195,0.07488,0.26316,0.03951,0.01059,2.93154,11.38,3.53006,0.0019208,0.0019208,0.0019208
10,69.789,1.84285,2.43409,2.09378,0.3819,0.21053,0.18808,0.05373,2.74326,3.70372,2.69341,0.0019109,0.0019109,0.0019109
11,75.8564,1.92209,2.48561,2.11914,0.07084,0.15789,0.04461,0.01845,2.66737,3.27484,3.09293,0.001901,0.001901,0.001901
12,81.0283,1.88634,2.41016,2.10091,0.22548,0.10526,0.07393,0.02898,2.31397,5.50995,2.69663,0.0018911,0.0018911,0.0018911
13,88.7214,1.83076,2.36329,2.09067,0.06612,0.26316,0.03179,0.00989,2.91719,12.1997,3.72945,0.0018812,0.0018812,0.0018812
14,94.6239,1.82658,2.26231,2.03599,0.21272,0.15789,0.08033,0.02145,3.02002,3.62608,2.98278,0.0018713,0.0018713,0.0018713
